Entity,Code,Year,Death rate in ongoing conflicts (best estimate) - Conflict type: extrasystemic,Death rate in ongoing conflicts (best estimate) - Conflict type: intrastate,Death rate in ongoing conflicts (best estimate) - Conflict type: interstate
Africa,,1946,0,0,0
Africa,,1947,3.5461435,0,0
Africa,,1948,0,0,0
Africa,,1949,0,0,0
Africa,,1950,0,0,0
Africa,,1951,0,0,0
Africa,,1952,1.2044187,0,0
Africa,,1953,1.2816381,0,0
Africa,,1954,10.646076,0,0
Africa,,1955,10.155446,0,0
Africa,,1956,9.9333935,0,0
Africa,,1957,10.106434,0,0
Africa,,1958,9.918353,0,0
Africa,,1959,9.64773,0,0
Africa,,1960,7.903602,11.836892,0.0097426195
Africa,,1961,9.865048,11.617491,0.53048944
Africa,,1962,9.630686,0.03900868,0
Africa,,1963,2.540132,0.36256522,0.18128261
Africa,,1964,2.6545773,1.5212973,0.044920895
Africa,,1965,2.5892901,1.4905838,0
Africa,,1966,2.6922696,0.8942841,0
Africa,,1967,2.6333394,5.868397,0
Africa,,1968,2.5720067,10.101917,0
Africa,,1969,2.4889686,9.838048,0
Africa,,1970,2.4235163,1.523552,0
Africa,,1971,2.3596003,0.9027549,0
Africa,,1972,2.8012917,0.80729777,0
Africa,,1973,2.7257493,0.16894564,0.0069812248
Africa,,1974,1.8035406,2.4356759,0
Africa,,1975,0,4.2572193,0
Africa,,1976,0,7.0672216,0
Africa,,1977,0,7.322265,0
Africa,,1978,0,9.240905,0.006051832
Africa,,1979,0,6.9372096,0
Africa,,1980,0,7.7586684,0
Africa,,1981,0,7.69935,0
Africa,,1982,0,7.421456,0
Africa,,1983,0,8.008367,0.18179512
Africa,,1984,0,12.925811,0
Africa,,1985,0,12.323053,0.011808593
Africa,,1986,0,12.525139,0
Africa,,1987,0,9.466941,1.6354996
Africa,,1988,0,6.704144,0
Africa,,1989,0,6.137579,0
Africa,,1990,0,11.094014,0
Africa,,1991,0,4.2457943,0
Africa,,1992,0,1.1178339,0
Africa,,1993,0,2.3808808,0
Africa,,1994,0,1.4796805,0
Africa,,1995,0,1.0225326,0
Africa,,1996,0,1.189845,0.008194726
Africa,,1997,0,3.4397159,0
Africa,,1998,0,3.1396673,0.13910182
Africa,,1999,0,1.935341,6.3998747
Africa,,2000,0,1.3084723,6.611117
Africa,,2001,0,1.3739151,0
Africa,,2002,0,0.9362768,0
Africa,,2003,0,0.7785931,0
Africa,,2004,0,0.72136205,0
Africa,,2005,0,0.18602023,0
Africa,,2006,0,0.4184024,0
Africa,,2007,0,0.37279433,0
Africa,,2008,0,0.5020479,0.003760256
Africa,,2009,0,0.5869211,0
Africa,,2010,0,0.4045627,0
Africa,,2011,0,0.8399453,0
Africa,,2012,0,0.5956455,0.03548732
Africa,,2013,0,0.67830616,0
Africa,,2014,0,0.94861174,0
Africa,,2015,0,0.9191367,0
Africa,,2016,0,0.86676997,0.002177814
Africa,,2017,0,0.8003812,0
Africa,,2018,0,0.5661096,0
Africa,,2019,0,0.67752343,0
Africa,,2020,0,2.3869796,0
Africa,,2021,0,10.381919,0
Africa,,2022,0,13.154753,0
Africa,,2023,0,1.5423695,0
Africa,,2024,0,1.2485664,0
Americas,,1946,0,0.33074415,0
Americas,,1947,0,1.2976087,0
Americas,,1948,0,0.63633174,0
