Entity,Code,Year,Death rate in ongoing wars (low estimate) - Conflict type: civil war,Death rate in ongoing wars (low estimate) - Conflict type: others (non-civil)
Americas,,1816,8.294883,0
Americas,,1817,8.141918,0
Americas,,1818,7.9902782,0
Americas,,1819,6.0173035,0
Americas,,1820,10.112626,0
Americas,,1821,7.24113,0
Americas,,1822,7.084526,0
Americas,,1823,6.965675,0
Americas,,1824,2.8068209,0
Americas,,1825,0,4.310394
Americas,,1826,0,4.235595
Americas,,1827,0,4.1612854
Americas,,1828,3.065615,4.9867334
Americas,,1829,3.009789,0.88287145
Americas,,1830,2.9536128,0
Americas,,1831,2.8972056,0
Americas,,1832,0,0
Americas,,1833,0,0
Americas,,1834,0,0
Americas,,1835,2.2196183,0
Americas,,1836,2.1747007,0
Americas,,1837,0.4288269,2.2444983
Americas,,1838,1.5372151,2.198575
Americas,,1839,5.500672,2.1530075
Americas,,1840,1.4737556,0
Americas,,1841,1.4424293,2.7255204
Americas,,1842,1.4113872,0
Americas,,1843,1.3806406,0
Americas,,1844,1.3503903,2.2179375
Americas,,1845,1.3321502,2.1114771
Americas,,1846,0.9497539,7.245158
Americas,,1847,0.9285858,7.0836787
Americas,,1848,0.0107641,0
Americas,,1849,0.010530423,1.4040564
Americas,,1850,0,0
Americas,,1851,0,1.4307091
Americas,,1852,0,1.4024763
Americas,,1853,0,0
Americas,,1854,0,0
Americas,,1855,0,1.397366
Americas,,1856,0,2.5520232
Americas,,1857,0,1.1586894
Americas,,1858,0,0
Americas,,1859,0,0
Americas,,1860,0,0
Americas,,1861,46.047726,0
Americas,,1862,45.296696,4.409908
Americas,,1863,44.600155,6.496355
Americas,,1864,43.910263,13.343123
Americas,,1865,43.22707,14.740524
Americas,,1866,0,14.50986
Americas,,1867,0,14.281515
Americas,,1868,0,10.042663
Americas,,1869,0,9.879778
Americas,,1870,0,9.715703
Americas,,1871,0,0
Americas,,1872,0,0
Americas,,1873,0,0
Americas,,1874,0,0
Americas,,1875,0,0
Americas,,1876,0,2.8062115
Americas,,1877,0,0
Americas,,1878,0,0
Americas,,1879,0,2.7339022
Americas,,1880,0,2.6833553
Americas,,1881,0,2.6332448
Americas,,1882,0,2.5835993
Americas,,1883,0,2.5344436
Americas,,1884,0,0
Americas,,1885,0,0.36451256
Americas,,1886,0,0
Americas,,1887,0,0
Americas,,1888,0,0
Americas,,1889,0,0
Americas,,1890,0,0
Americas,,1891,4.1469464,0
Americas,,1892,0,0
Americas,,1893,0,0
Americas,,1894,0,0
Americas,,1895,0,0
Americas,,1896,0,0
Americas,,1897,0,0
Americas,,1898,0,0
Americas,,1899,19.15004,0
Americas,,1900,17.350355,0
Americas,,1901,17.036427,0
Americas,,1902,16.724491,0
Americas,,1903,0,0
Americas,,1904,0,0
