Entity,Code,Year,Deaths in ongoing conflicts - Conflict type: all
World,OWID_WRL,1400,3493
World,OWID_WRL,1401,3685
World,OWID_WRL,1402,5523
World,OWID_WRL,1403,2586
World,OWID_WRL,1404,754
World,OWID_WRL,1405,1662
World,OWID_WRL,1406,6157
World,OWID_WRL,1407,16061
World,OWID_WRL,1408,6676
World,OWID_WRL,1409,8790
World,OWID_WRL,1410,8484
World,OWID_WRL,1411,7753
World,OWID_WRL,1412,6954
World,OWID_WRL,1413,7490
World,OWID_WRL,1414,8022
World,OWID_WRL,1415,10493
World,OWID_WRL,1416,10018
World,OWID_WRL,1417,9819
World,OWID_WRL,1418,9833
World,OWID_WRL,1419,14886
World,OWID_WRL,1420,11423
World,OWID_WRL,1421,11359
World,OWID_WRL,1422,11359
World,OWID_WRL,1423,10695
World,OWID_WRL,1424,10791
World,OWID_WRL,1425,4957
World,OWID_WRL,1426,6077
World,OWID_WRL,1427,5981
World,OWID_WRL,1428,9377
World,OWID_WRL,1429,7713
World,OWID_WRL,1430,7905
World,OWID_WRL,1431,4413
World,OWID_WRL,1432,4221
World,OWID_WRL,1433,5213
World,OWID_WRL,1434,8445
World,OWID_WRL,1435,7053
World,OWID_WRL,1436,2989
World,OWID_WRL,1437,3015
World,OWID_WRL,1438,3031
World,OWID_WRL,1439,3163
World,OWID_WRL,1440,3451
World,OWID_WRL,1441,3387
World,OWID_WRL,1442,9884
World,OWID_WRL,1443,9816
World,OWID_WRL,1444,10816
World,OWID_WRL,1445,8881
World,OWID_WRL,1446,7021
World,OWID_WRL,1447,6781
World,OWID_WRL,1448,6845
World,OWID_WRL,1449,35840
World,OWID_WRL,1450,35904
World,OWID_WRL,1451,3244
World,OWID_WRL,1452,3180
World,OWID_WRL,1453,3052
World,OWID_WRL,1454,8992
World,OWID_WRL,1455,2749
World,OWID_WRL,1456,2781
World,OWID_WRL,1457,1997
World,OWID_WRL,1458,1781
World,OWID_WRL,1459,12709
World,OWID_WRL,1460,11877
World,OWID_WRL,1461,13877
World,OWID_WRL,1462,7517
World,OWID_WRL,1463,2973
World,OWID_WRL,1464,2909
World,OWID_WRL,1465,13509
World,OWID_WRL,1466,8617
World,OWID_WRL,1467,6769
World,OWID_WRL,1468,7469
World,OWID_WRL,1469,5466
World,OWID_WRL,1470,5530
World,OWID_WRL,1471,7440
World,OWID_WRL,1472,7758
World,OWID_WRL,1473,5540
World,OWID_WRL,1474,8094
World,OWID_WRL,1475,17898
World,OWID_WRL,1476,17217
World,OWID_WRL,1477,10649
World,OWID_WRL,1478,8549
World,OWID_WRL,1479,2641
World,OWID_WRL,1480,7511
World,OWID_WRL,1481,6369
World,OWID_WRL,1482,7685
World,OWID_WRL,1483,7999
World,OWID_WRL,1484,3969
World,OWID_WRL,1485,4147
World,OWID_WRL,1486,1954
World,OWID_WRL,1487,1832
World,OWID_WRL,1488,2952
World,OWID_WRL,1489,10488
World,OWID_WRL,1490,10955
World,OWID_WRL,1491,3323
World,OWID_WRL,1492,3305
World,OWID_WRL,1493,1388
World,OWID_WRL,1494,2820
World,OWID_WRL,1495,13342
World,OWID_WRL,1496,4410
World,OWID_WRL,1497,6175
World,OWID_WRL,1498,4146
World,OWID_WRL,1499,2653
World,OWID_WRL,1500,29853
World,OWID_WRL,1501,29681
World,OWID_WRL,1502,32625
World,OWID_WRL,1503,29117
World,OWID_WRL,1504,5077
World,OWID_WRL,1505,1648
World,OWID_WRL,1506,8084
World,OWID_WRL,1507,4016
World,OWID_WRL,1508,13021
World,OWID_WRL,1509,7020
World,OWID_WRL,1510,8412
World,OWID_WRL,1511,7009
World,OWID_WRL,1512,22032
World,OWID_WRL,1513,20699
World,OWID_WRL,1514,24725
World,OWID_WRL,1515,22735
World,OWID_WRL,1516,23504
World,OWID_WRL,1517,5528
World,OWID_WRL,1518,5233
World,OWID_WRL,1519,37561
World,OWID_WRL,1520,36117
World,OWID_WRL,1521,49318
World,OWID_WRL,1522,71213
World,OWID_WRL,1523,21152
World,OWID_WRL,1524,98917
World,OWID_WRL,1525,159917
World,OWID_WRL,1526,97066
World,OWID_WRL,1527,62563
World,OWID_WRL,1528,19681
World,OWID_WRL,1529,13020
World,OWID_WRL,1530,13390
World,OWID_WRL,1531,10936
World,OWID_WRL,1532,15920
World,OWID_WRL,1533,19796
World,OWID_WRL,1534,10563
World,OWID_WRL,1535,10951
World,OWID_WRL,1536,44387
World,OWID_WRL,1537,55167
World,OWID_WRL,1538,23331
World,OWID_WRL,1539,1692
World,OWID_WRL,1540,2260
World,OWID_WRL,1541,113056
World,OWID_WRL,1542,137319
World,OWID_WRL,1543,31019
World,OWID_WRL,1544,35084
World,OWID_WRL,1545,4531
World,OWID_WRL,1546,8777
World,OWID_WRL,1547,15007
World,OWID_WRL,1548,11200
World,OWID_WRL,1549,8411
World,OWID_WRL,1550,13636
World,OWID_WRL,1551,22621
World,OWID_WRL,1552,23900
World,OWID_WRL,1553,22731
World,OWID_WRL,1554,25419
World,OWID_WRL,1555,24515
World,OWID_WRL,1556,8987
World,OWID_WRL,1557,18304
World,OWID_WRL,1558,16297
World,OWID_WRL,1559,17579
World,OWID_WRL,1560,11156
World,OWID_WRL,1561,13648
World,OWID_WRL,1562,21598
World,OWID_WRL,1563,18348
World,OWID_WRL,1564,11379
World,OWID_WRL,1565,12539
World,OWID_WRL,1566,35620
World,OWID_WRL,1567,15588
World,OWID_WRL,1568,15830
World,OWID_WRL,1569,11037
World,OWID_WRL,1570,19845
World,OWID_WRL,1571,53717
World,OWID_WRL,1572,44940
World,OWID_WRL,1573,45959
World,OWID_WRL,1574,24894
World,OWID_WRL,1575,6888
World,OWID_WRL,1576,8760
World,OWID_WRL,1577,12538
World,OWID_WRL,1578,32924
World,OWID_WRL,1579,14257
World,OWID_WRL,1580,31849
World,OWID_WRL,1581,11695
World,OWID_WRL,1582,13662
World,OWID_WRL,1583,6055
World,OWID_WRL,1584,3559
World,OWID_WRL,1585,6087
World,OWID_WRL,1586,10023
World,OWID_WRL,1587,15726
World,OWID_WRL,1588,19672
World,OWID_WRL,1589,21422
World,OWID_WRL,1590,21604
World,OWID_WRL,1591,18858
World,OWID_WRL,1592,18162
World,OWID_WRL,1593,24591
World,OWID_WRL,1594,32406
World,OWID_WRL,1595,32334
World,OWID_WRL,1596,29470
World,OWID_WRL,1597,25656
World,OWID_WRL,1598,27652
World,OWID_WRL,1599,23218
World,OWID_WRL,1600,26538
World,OWID_WRL,1601,24660
World,OWID_WRL,1602,23846
World,OWID_WRL,1603,22946
World,OWID_WRL,1604,25210
World,OWID_WRL,1605,22389
World,OWID_WRL,1606,22419
World,OWID_WRL,1607,16022
World,OWID_WRL,1608,12832
World,OWID_WRL,1609,12928
